FIPS,County,State,Population,X,Y,Total_Birds_2002,Mosquito_Batch_2002,Total_Mammals_2002,Total_Birds_2003,Mosquito_Batch_2003,Total_Mammals_2003,Total_Birds_2004,Mosquito_Batch_2004,Total_Mammals_2004,Total_Birds_2005,Mosquito_Batch_2005,Total_Mammals_2005,Total_Birds_2006,Mosquito_Batch_2006,Total_Mammals_2006,Total_Birds_2007,Mosquito_Batch_2007,Total_Mammals_2007,Total_Birds_2008,Mosquito_Batch_2008,Total_Mammals_2008,Total_Birds_2009,Mosquito_Batch_2009,Total_Mammals_2009,Total_Birds_2010,Mosquito_Batch_2010,Total_Mammals_2010,Total_Birds_2011,Mosquito_Batch_2011,Total_Mammals_2011,Total_Birds_2012,Mosquito_Batch_2012,Total_Mammals_2012,Total_Birds_2013,Mosquito_Batch_2013,Total_Mammals_2013,Total_Birds_2014,Mosquito_Batch_2014,Total_Mammals_2014,Total_Birds_2015,Mosquito_Batch_2015,Total_Mammals_2015,Total_Birds_2016,Mosquito_Batch_2016,Total_Mammals_2016,Total_Birds_2017,Mosquito_Batch_2017,Total_Mammals_2017,Total_Birds_2018,Mosquito_Batch_2018,Total_Mammals_2018,Total_Birds_2019,Mosquito_Batch_2019,Total_Mammals_2019,Total_Birds_2020,Mosquito_Batch_2020,Total_Mammals_2020,Total_Birds_2021,Mosquito_Batch_2021,Total_Mammals_2021,Total_Birds_2022,Mosquito_Batch_2022,Total_Mammals_2022,Total_Birds_2023,Mosquito_Batch_2023,Total_Mammals_2023,Total_Birds_2024,Mosquito_Batch_2024,Total_Mammals_2024
17001,Adams,Illinois,65435,-91.1848,39.9877,2,0,5,1,0,2,1,5,0,3,3,0,1,18,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17003,Alexander,Illinois,5761,-89.3379,37.1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17005,Bond,Illinois,16426,-89.4356,38.8868,6,0,1,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17007,Boone,Illinois,53544,-88.8234,42.3231,1,0,3,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,10,0,0,2,0,0,3,0,1,0,0,0,12,0,0,5,0,0,0,0,0,2,0,0,4,0,2,5,0,2,10,0,0,2,0
17009,Brown,Illinois,6578,-90.7503,39.9618,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011,Bureau,Illinois,32628,-89.5287,41.4042,3,0,14,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0
17013,Calhoun,Illinois,4739,-90.6649,39.1721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17015,Carroll,Illinois,14305,-89.9246,42.0702,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,4,0
17017,Cass,Illinois,12147,-90.2474,39.9736,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17019,Champaign,Illinois,209689,-88.1992,40.1401,12,45,28,14,12,0,4,33,1,2,4,1,1,103,0,0,16,0,0,0,0,2,4,0,4,15,0,1,13,0,1,43,0,3,58,0,1,6,0,0,8,0,4,9,0,2,8,0,2,23,0,0,0,0,0,9,0,2,4,0,0,0,0,0,17,0,3,9,0
17021,Christian,Illinois,32304,-89.2773,39.5458,2,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,7,0
17023,Clark,Illinois,15441,-87.7877,39.3336,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17025,Clay,Illinois,13184,-88.4902,38.7541,3,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,3,6,0,1,1,0
17027,Clinton,Illinois,37562,-89.4225,38.6064,10,0,17,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,28,0,0,14,0
17029,Coles,Illinois,50621,-88.2218,39.5203,5,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17031,Cook,Illinois,5150233,-87.8168,41.8401,102,214,14,34,305,0,81,630,1,70,1559,0,26,1703,0,6,1174,0,5,546,0,5,289,0,12,1880,0,15,852,0,13,2766,1,10,1826,0,12,900,0,2,894,0,2,1708,0,7,1191,0,4,2021,0,1,900,0,1,2008,0,1,2077,0,2,2004,0,1,2602,0,0,2421,0
17033,Crawford,Illinois,18667,-87.7596,39.0027,6,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17035,Cumberland,Illinois,10766,-88.2402,39.2733,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17037,DeKalb,Illinois,104897,-88.7703,41.8935,6,0,6,4,0,1,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,7,0,0,13,0,1,26,0,2,17,0,1,5,0,2,21,0,0,1,0,0,0,0,0,18,0,0,1,0,2,24,0,0,10,0
17039,De Witt,Illinois,15638,-88.9041,40.1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17041,Douglas,Illinois,19465,-88.2174,39.7695,9,0,32,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,5,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,3,0,5
17043,DuPage,Illinois,922921,-88.0857,41.852,18,26,9,17,79,1,16,404,0,21,385,0,3,417,0,1,176,0,3,67,0,0,55,0,5,244,0,0,114,0,18,451,0,0,166,0,1,93,0,0,171,0,0,193,0,0,193,0,0,169,0,1,112,0,2,109,0,1,178,0,1,137,0,0,170,0,2,157,0
17045,Edgar,Illinois,17161,-87.7456,39.6786,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17047,Edwards,Illinois,6395,-88.0533,38.4165,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17049,Effingham,Illinois,34008,-88.5899,39.0598,2,4,40,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17051,Fayette,Illinois,21336,-89.0242,39.0002,5,0,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,6,0,0,1,0
17053,Ford,Illinois,12961,-88.2233,40.5972,1,0,14,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,1,3,0,2,6,0,3,12,0
17055,Franklin,Illinois,38469,-88.9242,37.9923,3,0,30,2,6,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17057,Fulton,Illinois,34340,-90.2075,40.4728,4,0,12,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,2,0,0,3,0,0,10,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17059,Gallatin,Illinois,4828,-88.2305,37.7628,3,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,2,0,0,4,0,0,2,0,0,3,0,0,6,0,0,7,0,0,7,0,0,3,0,0,7,0,0,9,0,0,2,0,0,4,0,0,0,0,0,2,0,0,5,0,0,2,0,0,6,0
17061,Greene,Illinois,12969,-90.3905,39.3562,3,0,4,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,6,2,0,0,0,1,4,0,0,1,0,0,6,0,0,7,0,0,0,0,0,2,0,0,6,0,0,2,0,0,5,0,0,4,0
17063,Grundy,Illinois,51054,-88.4185,41.2851,5,0,3,3,0,0,1,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,2,24,0,0,6,0,0,27,0,0,9,0,0,9,0,0,51,0,0,3,0,1,4,0,0,3,0,1,5,0,0,5,0,0,11,0
17065,Hamilton,Illinois,8116,-88.5391,38.0816,0,3,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17067,Hancock,Illinois,17708,-91.1596,40.4021,1,0,14,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,4,0
17069,Hardin,Illinois,3821,-88.2669,37.5182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17071,Henderson,Illinois,6646,-90.9204,40.8181,2,0,5,3,0,1,0,3,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17073,Henry,Illinois,48913,-90.1314,41.3531,1,0,30,0,0,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17075,Iroquois,Illinois,27114,-87.8243,40.7472,6,0,7,0,0,0,1,0,2,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17077,Jackson,Illinois,56750,-89.3812,37.7855,2,25,31,4,0,0,0,2,0,0,13,0,3,15,1,0,6,0,0,1,0,1,3,0,0,3,0,0,2,0,1,10,3,0,10,0,1,4,0,0,3,0,0,6,0,0,7,0,0,5,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,1,0,4,0
17079,Jasper,Illinois,9610,-88.1538,39.01,2,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17081,Jefferson,Illinois,37684,-88.924,38.3005,1,0,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
17083,Jersey,Illinois,21773,-90.3568,39.087,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17085,Jo Daviess,Illinois,21235,-90.2062,42.366,2,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17087,Johnson,Illinois,12417,-88.8809,37.4596,2,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0
17089,Kane,Illinois,532403,-88.4287,41.9389,5,11,10,12,3,0,10,23,1,10,111,0,2,104,0,2,22,0,1,1,0,0,4,0,4,40,0,0,8,0,5,124,0,4,30,0,2,23,0,1,66,1,0,53,0,1,43,0,0,98,0,0,15,0,0,44,0,0,25,0,1,44,0,0,29,0,1,19,1
17091,Kankakee,Illinois,109862,-87.8618,41.1377,11,0,10,7,5,2,12,9,0,13,3,0,5,39,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,16,0,3,27,0,1,6,0,1,34,0,0,10,0,2,36,0,0,48,0,0,0,0,0,4,0,1,5,0,0,9,1,1,18,0,1,22,0
17093,Kendall,Illinois,128990,-88.4288,41.5905,5,0,9,5,4,1,2,1,0,4,1,0,2,16,0,0,0,0,0,8,0,0,4,0,0,21,0,0,13,0,0,13,0,0,8,0,1,14,0,0,27,0,1,28,0,0,36,0,0,45,0,0,3,0,0,8,0,0,5,0,0,5,0,0,16,0,0,9,0
