FIPS,County,State,Population,X,Y,Total_Birds_2002,Mosquito_Batch_2002,Total_Mammals_2002,Total_Birds_2003,Mosquito_Batch_2003,Total_Mammals_2003,Total_Birds_2004,Mosquito_Batch_2004,Total_Mammals_2004,Total_Birds_2005,Mosquito_Batch_2005,Total_Mammals_2005,Total_Birds_2006,Mosquito_Batch_2006,Total_Mammals_2006,Total_Birds_2007,Mosquito_Batch_2007,Total_Mammals_2007,Total_Birds_2008,Mosquito_Batch_2008,Total_Mammals_2008,Total_Birds_2009,Mosquito_Batch_2009,Total_Mammals_2009,Total_Birds_2010,Mosquito_Batch_2010,Total_Mammals_2010,Total_Birds_2011,Mosquito_Batch_2011,Total_Mammals_2011,Total_Birds_2012,Mosquito_Batch_2012,Total_Mammals_2012,Total_Birds_2013,Mosquito_Batch_2013,Total_Mammals_2013,Total_Birds_2014,Mosquito_Batch_2014,Total_Mammals_2014,Total_Birds_2015,Mosquito_Batch_2015,Total_Mammals_2015,Total_Birds_2016,Mosquito_Batch_2016,Total_Mammals_2016,Total_Birds_2017,Mosquito_Batch_2017,Total_Mammals_2017,Total_Birds_2018,Mosquito_Batch_2018,Total_Mammals_2018,Total_Birds_2019,Mosquito_Batch_2019,Total_Mammals_2019,Total_Birds_2020,Mosquito_Batch_2020,Total_Mammals_2020,Total_Birds_2021,Mosquito_Batch_2021,Total_Mammals_2021,Total_Birds_2022,Mosquito_Batch_2022,Total_Mammals_2022,Total_Birds_2023,Mosquito_Batch_2023,Total_Mammals_2023,Total_Birds_2024,Mosquito_Batch_2024,Total_Mammals_2024
17095,Knox,Illinois,49699,-90.2133,40.9318,6,0,8,4,0,1,5,1,0,1,1,0,3,20,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,1,0
17097,Lake,Illinois,696535,-88.0036,42.3233,12,39,7,4,16,0,5,79,0,13,168,0,6,118,1,1,59,0,1,10,0,0,1,0,0,29,0,1,13,0,3,93,0,2,38,0,1,29,0,1,68,0,1,135,0,1,84,0,2,72,0,0,60,0,0,92,0,1,218,0,2,81,0,0,172,0,1,151,0
17099,LaSalle,Illinois,108669,-88.886,41.344,8,5,31,8,0,2,9,0,0,3,0,0,7,29,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,1,0,3,3,0,7,1,0,1,1,0,5,1,0,0,1,0,0,1,0,3,1,0,0,1,0,2,15,0,1,1,0
17101,Lawrence,Illinois,15678,-87.7267,38.7199,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17103,Lee,Illinois,34096,-89.3004,41.7462,4,0,13,1,0,4,1,4,0,1,8,0,1,13,1,1,14,0,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5,0,0,0,0,1,11,0,6,1,0,0,6,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,4,0
17105,Livingston,Illinois,35648,-88.5577,40.8915,2,0,3,5,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,6,0,1,0,0,0,1,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0
17107,Logan,Illinois,28618,-89.3675,40.1245,6,1,9,2,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,2,0
17109,McDonough,Illinois,29682,-90.6779,40.4562,7,0,11,4,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,0,3,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0
17111,McHenry,Illinois,307774,-88.4525,42.3244,27,0,16,10,5,1,9,21,0,27,40,0,19,30,1,1,6,1,1,2,0,0,0,0,1,2,0,0,7,0,13,46,0,9,30,0,0,15,0,4,13,0,1,36,0,0,20,0,1,17,0,0,3,0,1,13,0,2,35,0,1,15,0,3,56,0,1,28,0
17113,McLean,Illinois,171517,-88.8473,40.4909,5,0,16,2,0,2,2,3,1,2,0,0,1,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,8,0,2,7,0,3,12,0,4,10,0,0,4,0,1,3,0,0,0,0,2,2,0,4,5,0,2,3,0,2,10,0,3,8,0
17115,Macon,Illinois,104009,-88.9616,39.86,2,2,14,1,1,0,4,7,0,4,1,0,4,74,0,0,25,0,0,2,0,1,4,0,0,19,0,0,9,0,2,82,0,1,145,0,0,19,0,0,51,0,1,36,0,0,51,0,0,88,0,0,2,0,0,5,0,0,2,0,0,3,0,1,25,0,0,22,0
17117,Macoupin,Illinois,44926,-89.9244,39.261,10,0,8,2,8,1,3,6,1,0,15,0,3,29,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,6,0,0,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,1,0,1,14,0,0,2,0,1,2,0
17119,Madison,Illinois,262966,-89.9018,38.8302,4,20,22,6,0,2,5,1,1,3,2,0,3,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,0,0,3,16,0,3,38,0,1,14,1,0,38,2,0,9,0,0,31,0,0,20,0,0,7,0,0,0,0,0,3,0,0,0,0,0,8,0,0,13,0
17121,Marion,Illinois,37205,-88.919,38.6496,7,0,10,0,0,4,1,2,0,0,0,1,1,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17123,Marshall,Illinois,11438,-89.3447,41.0332,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
17125,Mason,Illinois,13359,-89.9168,40.2396,4,0,12,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17127,Massac,Illinois,13772,-88.7077,37.219,0,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
17129,Menard,Illinois,12196,-89.8022,40.0274,1,0,3,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
17131,Mercer,Illinois,15437,-90.7386,41.2053,2,0,19,3,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1,0,9,1,0,0,0,1,3,0,0,3,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0
17133,Monroe,Illinois,34637,-90.1744,38.2785,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,7,0,0,6,1,0,4,0,0,17,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0
17135,Montgomery,Illinois,28414,-89.4789,39.231,4,0,13,2,2,0,3,1,0,2,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,6,0,0,1,0,0,0,0,0,6,0,0,2,1,0,2,0,0,7,0
17137,Morgan,Illinois,33658,-90.2015,39.7156,2,0,4,3,0,2,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
17139,Moultrie,Illinois,14501,-88.6193,39.6415,4,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3
17141,Ogle,Illinois,50643,-89.3206,42.0426,1,0,7,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,2,1,0,0,3,0,0,4,0,0,0,0,0,1,0,1,1,0,1,1,0
17143,Peoria,Illinois,179179,-89.76,40.7881,4,9,37,1,0,0,2,0,0,4,14,1,2,11,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,23,0,0,1,0,1,0,0,2,2,1,0,4,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,10,0,0,6,0,0,24,0
17145,Perry,Illinois,20916,-89.367,38.0838,8,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17147,Piatt,Illinois,16344,-88.5911,40.0104,3,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17149,Pike,Illinois,15561,-90.8826,39.6233,2,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17151,Pope,Illinois,4177,-88.5616,37.4128,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17153,Pulaski,Illinois,5335,-89.1266,37.2229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0
17155,Putnam,Illinois,5739,-89.2858,41.2044,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17157,Randolph,Illinois,31782,-89.8237,38.0546,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17159,Richland,Illinois,15513,-88.0851,38.7123,1,0,13,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
17161,Rock Island,Illinois,141879,-90.5632,41.4656,3,0,11,4,0,1,7,8,0,4,3,0,0,12,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,12,0,4,38,0,0,14,0,0,19,0,0,1,0,0,0,0,0,0,0,0,4,0,2,9,0,3,3,0
17163,St. Clair,Illinois,259686,-89.9275,38.4699,20,5,19,4,19,0,1,8,0,2,10,1,0,16,0,1,8,0,1,5,0,1,12,0,1,2,0,0,2,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,2,0,0,2,0,0,11,0,0,12,0
17165,Saline,Illinois,23491,-88.5408,37.7532,4,36,10,0,1,1,0,2,0,1,1,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17167,Sangamon,Illinois,194672,-89.6589,39.7582,7,15,47,2,0,0,3,0,1,2,8,0,1,5,1,1,4,0,2,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,15,0,0,4,0,0,5,0,1,4,0,0,5,0,0,8,0,0,2,0,0,1,0,0,3,0,1,0,0,1,3,0,1,2,0
17169,Schuyler,Illinois,6768,-90.6151,40.158,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17171,Scott,Illinois,4951,-90.4747,39.6441,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
17173,Shelby,Illinois,21634,-88.8055,39.3912,3,24,23,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17175,Stark,Illinois,5342,-89.7975,41.0934,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,Stephenson,Illinois,44498,-89.6623,42.3517,4,0,2,3,1,0,2,0,0,1,2,1,3,15,0,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,4,0,0,1,0,0,4,0,0,7,3,0,2,5,0,1,7,0,0,0,0,1,4,0,0,0,0,1,1,0,2,0,0,2,4,0
17179,Tazewell,Illinois,131803,-89.5134,40.5075,6,9,24,1,0,1,1,0,0,2,5,0,1,11,0,0,10,1,0,2,0,0,3,0,1,15,0,0,5,0,1,5,0,6,6,0,0,5,0,3,5,0,1,1,0,0,2,0,0,2,0,0,2,0,0,0,0,2,1,0,0,1,0,1,1,0,1,1,0
17181,Union,Illinois,16653,-89.2529,37.4715,2,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17183,Vermilion,Illinois,75758,-87.7328,40.1834,1,0,5,2,1,0,3,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,1,6,0,0,1,0
17185,Wabash,Illinois,11520,-87.8443,38.4461,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17187,Warren,Illinois,16844,-90.615,40.8488,2,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,13,0,0,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
17189,Washington,Illinois,13887,-89.4105,38.3522,8,0,7,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,5,0,1,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,0,1,2,0
17191,Wayne,Illinois,16215,-88.4256,38.4296,2,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17193,White,Illinois,13537,-88.1796,38.0875,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,3,0,0,1,0,0,4,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17195,Whiteside,Illinois,55175,-89.9123,41.7553,5,0,21,3,0,2,3,1,0,1,2,0,1,11,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,2,1,0,2,3,0,3,2,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,0
17197,Will,Illinois,690743,-87.9787,41.445,11,9,15,9,24,1,3,43,0,2,92,1,5,72,2,0,4,0,1,8,0,0,6,0,2,17,0,1,25,0,5,124,0,1,84,1,2,27,0,0,87,0,3,49,0,0,82,0,0,100,0,0,13,0,0,26,0,0,31,0,0,18,0,1,64,0,2,55,0
17199,Williamson,Illinois,66597,-88.9299,37.7303,1,1,29,1,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17201,Winnebago,Illinois,282572,-89.1608,42.3363,3,13,8,18,10,0,8,2,1,11,8,0,11,25,0,4,1,0,5,0,0,1,0,0,17,0,0,1,2,0,23,13,0,9,13,0,3,3,0,6,6,0,3,5,0,2,6,0,1,22,0,1,4,0,1,1,0,1,0,0,0,3,0,1,1,0,2,1,0
17203,Woodford,Illinois,38459,-89.2112,40.7882,6,1,5,3,1,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
